# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "/scratch_tmp/grp/msc_appbio/group1/ref_gen/raw_refgen/GCF_000146045.2/genomic.gtf" "-g" "db_xref" "-o" "/scratch_tmp/grp/msc_appbio/group1/outputs/readCounts/readCounts2.txt" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318268_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318269_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318270_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318271_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318268_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318269_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318270_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318271_Aligned.sortedByCoord.out.bam
GenBank:NM_001179965.1	NC_001138.5	147131	148459	+	1329	2394	2648	1973	2857
GenBank:NM_001179966.1	NC_001138.5	149110	149724	+	615	14538	10641	12209	15996
GenBank:NM_001179967.1	NC_001138.5	150016	152535	+	2520	5798	6573	5871	6114
GenBank:NM_001179968.1	NC_001138.5	152657	153124	-	468	6655	6831	5439	5628
GenBank:NM_001179969.1	NC_001138.5	153393	154313	+	921	29080	28296	26914	30862
GenBank:NM_001179970.1	NC_001138.5	154527	155873	-	1347	2034	2157	2068	2430
GenBank:NM_001179971.1	NC_001138.5	156145	157752	+	1608	15561	14592	14362	14728
GeneID:850557	NC_001138.5;NC_001138.5	157916;157971	157951;158007	-;-	73	4	1	4	4
GenBank:NM_001179972.1	NC_001138.5	159299	160360	+	1062	1457	1824	1410	1973
GenBank:NM_001179973.1	NC_001138.5	160535	161200	+	666	2920	2849	2323	2097
GeneID:850560	NC_001138.5	162228	162298	+	71	0	2	0	0
GenBank:NM_001179974.1	NC_001138.5	162488	164746	+	2259	5600	5919	6116	7962
GenBank:NM_001179975.1	NC_001138.5	165067	166566	+	1500	14914	15077	15021	14754
GenBank:NM_001179976.1	NC_001138.5	166746	167258	-	513	6463	6915	6331	14455
GeneID:850564	NC_001138.5;NC_001138.5	167437;167490	167475;167525	+;+	75	2	2	0	6
GenBank:NM_001179977.1	NC_001138.5	167888	168496	+	609	609	588	463	559
GenBank:NM_001184472.1	NC_001138.5	169224	169310	+	87	114	105	94	108
GenBank:NM_001179978.1	NC_001138.5	169922	172285	+	2364	4042	4291	3923	4475
GenBank:NM_001179979.2	NC_001138.5	172537	173877	-	1341	12741	12011	11791	13574
GenBank:NM_001179980.1	NC_001138.5	174265	176391	-	2127	8208	8397	12371	8679
GenBank:NM_001179981.1	NC_001138.5	177042	180743	-	3702	8961	9518	9425	7790
GeneID:850571	NC_001138.5	180974	181044	-	71	0	2	3	5
GenBank:NM_001179982.1	NC_001138.5	182274	182861	-	588	13456	13770	11596	7651
GenBank:NM_001179983.1	NC_001138.5	183131	184222	-	1092	4926	5955	4836	4984
GenBank:NM_001179984.2	NC_001138.5	184502	191338	+	6837	5032	5477	5068	5153
GeneID:850575	NC_001138.5;NC_001138.5	191513;191577	191557;191613	-;-	82	30	27	55	46
GenBank:NM_001270745.1	NC_001138.5	192737	193435	+	699	4372	5732	3693	4194
GenBank:NM_001179986.1	NC_001138.5	194812	196314	+	1503	4152	4647	4154	3000
GenBank:NM_001179987.3	NC_001138.5	196833	199034	+	2202	3369	4045	2721	2347
GenBank:NR_132174.1	NC_001138.5	199299	199813	-	515	9	15	8	10
GenBank:NM_001179988.1	NC_001138.5	199874	201709	+	1836	1604	1503	1548	1697
GenBank:NM_001180865.3	NC_001138.5;NC_001138.5	201960;203387	203292;203433	-;-	1380	18367	19119	16918	13869
GenBank:NM_001179990.1	NC_001138.5	203743	204750	-	1008	3012	3074	2698	3817
GeneID:850582	NC_001138.5	204924	204996	-	73	0	2	2	2
GenBank:NM_001179991.3	NC_001138.5	205748	206257	-	510	821	994	630	678
GenBank:NM_001179992.1	NC_001138.5	207452	208297	+	846	3292	3216	3245	3501
GenBank:NM_001179993.3	NC_001138.5	208413	210068	-	1656	3029	3467	2752	2695
GeneID:850586	NC_001138.5;NC_001138.5	210619;210669	210654;210707	-;-	75	1	0	2	1
GenBank:NM_001179994.1	NC_001138.5	210937	212973	+	2037	3870	3742	3486	3180
GenBank:NM_001179995.3	NC_001138.5	213312	216419	+	3108	4362	5065	4029	3658
GenBank:NM_001179996.2	NC_001138.5	216594	220106	-	3513	3262	3647	2707	4406
GenBank:NM_001180030.3	NC_001138.5;NC_001138.5	220507;221415	221267;221418	-;-	765	24740	27991	23724	34922
GenBank:NR_132175.1	NC_001138.5	221714	221967	+	254	27	52	37	32
GenBank:NM_001179997.1	NC_001138.5	222090	222959	-	870	33	46	24	45
GenBank:NM_001184311.3	NC_001138.5	223258	223437	-	180	17110	17516	18641	52785
GenBank:NM_001184591.1	NC_001138.5	223710	223973	-	264	660	771	444	669
GenBank:NM_001179998.3	NC_001138.5	224326	224769	-	444	14650	18479	20516	32264
GenBank:NM_001179999.1	NC_001138.5	225020	225958	-	939	2403	2501	2785	1909
GenBank:NM_001180000.3	NC_001138.5	226121	226465	-	345	25	24	31	28
GenBank:NM_001431138.1	NC_001138.5	226260	226550	+	291	452	419	432	534
GeneID:850596	NC_001138.5	226688	226760	-	73	6	9	2	2
GenBank:NM_001180001.1	NC_001138.5	226963	227337	+	375	1661	1766	1516	1434
GenBank:NM_001180002.3	NC_001138.5	227513	229186	-	1674	15115	15835	17093	14352
GenBank:NM_001180003.1	NC_001138.5	229380	231941	+	2562	4166	4285	4253	4469
GenBank:NM_001180004.3	NC_001138.5	232012	233544	-	1533	5808	5933	4949	5923
GenBank:NM_001180005.2	NC_001138.5	234242	237250	+	3009	11314	11884	11424	10013
GenBank:NM_001180006.3	NC_001138.5	237368	238255	-	888	5591	5700	4390	5454
GenBank:NM_001180007.1	NC_001138.5	238458	239060	+	603	5357	4712	3310	4769
GenBank:NM_001180008.3	NC_001138.5	239114	239827	-	714	3432	3263	3282	3477
GenBank:NM_001180009.1	NC_001138.5	239992	241437	-	1446	12341	12992	13129	13841
GenBank:NM_001180010.3	NC_001138.5;NC_001138.5	241998;242082	242009;242999	+;+	930	6126	6926	4241	4513
GenBank:NM_001180011.1	NC_001138.5	243074	244159	-	1086	2083	2190	1672	1833
GenBank:NM_001180012.3	NC_001138.5	244279	245166	-	888	9046	9783	9705	10973
GenBank:NM_001180013.1	NC_001138.5	246146	248134	+	1989	3644	3752	3306	3332
GenBank:NM_001180014.3	NC_001138.5	248523	248894	+	372	9010	8983	9359	11658
GenBank:NM_001180015.1	NC_001138.5	249066	249866	-	801	23634	24713	23210	23385
GenBank:NM_001180016.3	NC_001138.5	250163	251803	-	1641	8096	8802	8672	7401
GenBank:NM_001180017.1	NC_001138.5	252505	253329	+	825	11996	12261	12649	14014
GenBank:NM_001180018.3	NC_001138.5	253592	255049	-	1458	74330	87744	50385	34256
GenBank:NM_001348833.1	NC_001138.5	258855	259433	-	579	189	191	149	163
GenBank:NM_001180021.1	NC_001138.5	264204	265226	+	1023	570	873	712	1331
GenBank:NM_001180022.3	NC_001138.5	269061	269516	+	456	11	8	7	27
GenBank:NM_001181129.1	NC_001139.9	2790	3932	+	1143	300	397	687	1285
GenBank:NM_001181128.1	NC_001139.9	5312	5839	+	528	749	830	1493	1626
GenBank:NM_001181127.1	NC_001139.9	6290	6652	-	363	8	14	17	22
GenBank:NM_001181126.1	NC_001139.9	6860	7090	+	231	4	10	4	5
GenBank:NM_001181125.1	NC_001139.9	8470	8967	+	498	86	96	135	153
GenBank:NM_001184473.1	NC_001139.9	9162	9395	+	234	67	75	82	105
GenBank:NM_001181124.1	NC_001139.9	11110	11730	+	621	482	586	439	584
GenBank:NM_001181123.1	NC_001139.9	12481	14157	-	1677	10389	9247	10107	10284
GenBank:NM_001181122.1	NC_001139.9	15159	16307	+	1149	3535	3987	3200	3472
GenBank:NR_188205.1	NC_001139.9	17213	17709	-	497	340	253	516	612
GenBank:NM_001181121.1	NC_001139.9	20978	22108	+	1131	4380	5807	7492	7805
GenBank:NM_001181120.1	NC_001139.9	22304	23203	+	900	3071	3470	3184	2709
GenBank:NM_001181119.1	NC_001139.9	23935	25395	+	1461	7203	10364	8842	11285
GenBank:NM_001181118.1	NC_001139.9	25718	27484	-	1767	8781	8655	8267	7516
GenBank:NM_001181117.1	NC_001139.9;NC_001139.9	27921;31579	31426;31636	-;-	3564	3249	3328	2841	2429
GenBank:NM_001181116.1	NC_001139.9	31910	32635	+	726	5445	5028	4757	3963
GenBank:NM_001181115.1	NC_001139.9	33098	35212	+	2115	231	225	95	128
GenBank:NR_132176.1	NC_001139.9	33109	35013	-	1905	0	0	0	0
GenBank:NM_001181114.1	NC_001139.9	35653	36762	+	1110	5345	6124	4914	4432
GenBank:NM_001181113.1	NC_001139.9	36933	37526	+	594	3190	2800	2322	3194
GenBank:NM_001181112.1	NC_001139.9	37617	38780	-	1164	3105	3473	2659	4559
GenBank:NM_001181111.1	NC_001139.9	39023	41149	+	2127	15096	16149	16735	20215
GenBank:NM_001181110.1	NC_001139.9	41498	43174	+	1677	8943	9297	8743	7586
GenBank:NM_001181109.1	NC_001139.9	43307	44509	+	1203	3437	3410	2698	2933
GenBank:NM_001181108.1	NC_001139.9	44652	45197	-	546	4159	4004	2610	3257
GenBank:NM_001181107.1	NC_001139.9	45445	48459	+	3015	3166	3023	2796	3931
GenBank:NM_001181106.1	NC_001139.9	48613	49365	+	753	1304	1410	1448	1020
GenBank:NM_001181104.1	NC_001139.9	49552	52434	+	2883	9037	9062	8325	8282
GenBank:NM_001181103.1	NC_001139.9	52731	53528	-	798	4069	4327	3819	2987
GenBank:NM_001181102.1	NC_001139.9	53787	55796	-	2010	3429	3762	2942	3152
GenBank:NM_001181101.1	NC_001139.9	55279	55815	+	537	0	4	0	3
GenBank:NM_001181100.1	NC_001139.9	56482	58890	+	2409	13038	15250	15262	14880
GenBank:NM_001181099.1	NC_001139.9	59122	61854	+	2733	4764	5086	4322	5212
GenBank:NM_001181098.1	NC_001139.9;NC_001139.9	62075;62190	62131;63002	+;+	870	5971	5789	3843	5039
GenBank:NM_001181097.1	NC_001139.9	63048	63620	-	573	8998	8426	7482	8870
GenBank:NM_001181096.1	NC_001139.9	63772	64215	-	444	1021	915	1337	2237
GenBank:NM_001181095.1	NC_001139.9	64503	66959	-	2457	722	833	667	819
GenBank:NM_001181094.1	NC_001139.9	67598	69331	+	1734	20438	16898	17785	14040
GenBank:NM_001181093.1	NC_001139.9	69671	72547	+	2877	8105	7927	8818	6674
GenBank:NM_001181091.1	NC_001139.9;NC_001139.9	72749;73138	72988;73158	-;-	261	4247	3978	3728	5095
GenBank:NM_001181092.1	NC_001139.9	73340	73711	+	372	2220	2161	1752	2004
GeneID:852627	NC_001139.9	73829	73902	-	74	159	135	44	61
GenBank:NM_001181090.1	NC_001139.9	76894	77907	+	1014	5684	6473	5487	8898
GenBank:NM_001181089.1	NC_001139.9	78015	78857	-	843	2309	2595	1959	2250
GenBank:NM_001181088.1	NC_001139.9	79112	80365	-	1254	4030	4419	3634	4608
GenBank:NM_001181087.1	NC_001139.9	80659	81186	-	528	887	891	988	1054
GenBank:NM_001181086.1	NC_001139.9	81426	82292	-	867	7889	8406	8220	8764
GenBank:NM_001181085.1	NC_001139.9	82374	82736	+	363	7939	7744	7644	11800
GenBank:NM_001181084.1	NC_001139.9	82878	84257	-	1380	9483	10145	9108	8552
GenBank:NM_001181081.1	NC_001139.9	84885	87302	+	2418	3869	3985	3117	2262
GenBank:NM_001181080.1	NC_001139.9	87981	89339	+	1359	8697	9402	9510	8755
GenBank:NM_001181078.1	NC_001139.9	90054	91247	-	1194	5450	5471	5306	5329
GenBank:NM_001181077.1	NC_001139.9	91432	92382	+	951	1832	1905	1617	1257
GenBank:NM_001181076.1	NC_001139.9	92512	93591	+	1080	5539	5906	4886	5304
GenBank:NM_001181075.1	NC_001139.9	93792	94460	+	669	5060	4993	4910	4214
GenBank:NM_001181074.1	NC_001139.9	95858	97006	+	1149	2871	3707	2518	2385
GenBank:NM_001181073.2	NC_001139.9	97338	98585	+	1248	8766	8613	9892	8721
GenBank:NM_001181072.1	NC_001139.9	98969	102076	+	3108	15552	16110	17759	16630
GenBank:NM_001181071.1	NC_001139.9	102543	107504	-	4962	7426	8557	8557	8604
GenBank:NM_001181070.1	NC_001139.9	108158	110404	+	2247	55806	54048	51368	43895
GeneID:852668	NC_001139.9	110625	110696	-	72	158	145	136	186
GenBank:NM_001270746.1	NC_001139.9	111700	112005	-	306	1300	1164	1020	1923
GenBank:NM_001181068.1	NC_001139.9	112475	114664	-	2190	4637	4895	4329	4383
GeneID:852671	NC_001139.9;NC_001139.9	115488;115548	115524;115583	+;+	73	2	1	2	8
GenBank:NM_001181067.1	NC_001139.9	116059	117561	+	1503	4584	5512	5066	6428
GenBank:NM_001181066.1	NC_001139.9	117854	120907	-	3054	5825	6554	6009	5720
GeneID:852674	NC_001139.9	122269	122341	+	73	3	11	14	7
GenBank:NM_001181065.3	NC_001139.9	122694	123305	-	612	12228	12489	11431	19879
GenBank:NM_001181063.1	NC_001139.9	123591	124298	+	708	5639	5102	5269	5624
GenBank:NM_001181062.2	NC_001139.9	124698	129161	+	4464	10271	11066	14707	10450
GenBank:NM_001181061.1	NC_001139.9	129883	131169	+	1287	7476	7899	7040	8402
GenBank:NM_001181060.3	NC_001139.9	131525	139543	+	8019	8491	9908	9123	9854
GenBank:NM_001184677.1	NC_001139.9	139719	139961	-	243	1515	1612	1196	2354
GenBank:NM_001181059.1	NC_001139.9	140368	141726	-	1359	1352	1560	1505	1848
GenBank:NR_132177.1	NC_001139.9	141898	144120	-	2223	31	30	16	67
GenBank:NM_001181058.1	NC_001139.9	141916	142227	-	312	0	0	0	0
GenBank:NM_001181057.3	NC_001139.9	142246	144048	+	1803	0	0	0	0
GenBank:NM_001181056.1	NC_001139.9	144808	145197	+	390	29351	29561	35857	52717
GenBank:NM_001181055.1	NC_001139.9	145809	147389	-	1581	6461	6493	7257	6356
GenBank:NM_001181054.1	NC_001139.9	148229	148588	-	360	26902	31069	32685	46726
GenBank:NM_001184593.3	NC_001139.9	148824	148964	-	141	888	1038	600	716
GenBank:NM_001181052.1	NC_001139.9	149704	150171	-	468	16596	17472	20176	33442
GenBank:NM_001181051.1	NC_001139.9	151037	152776	-	1740	6357	6001	5510	5868
GenBank:NM_001181050.1	NC_001139.9	153167	154306	-	1140	5359	5327	4499	4626
GenBank:NM_001181049.3	NC_001139.9	154615	156012	-	1398	2402	2581	2266	1689
GenBank:NM_001181048.1	NC_001139.9;NC_001139.9	156543;157283	157199;157285	-;-	660	1401	1265	1423	807
GenBank:NM_001181046.1	NC_001139.9	157906	159096	+	1191	6385	6414	5807	3973
GenBank:NM_001181045.1	NC_001139.9	160065	162758	+	2694	8732	9145	9005	5843
GenBank:NM_001181044.3	NC_001139.9	163409	165091	-	1683	1235	1985	876	1031
GenBank:NM_001181043.1	NC_001139.9;NC_001139.9	167352;167995	167354;170571	+;+	2580	3122	3835	2438	2192
GenBank:NM_001181041.1	NC_001139.9	171415	173079	-	1665	3777	3537	3645	3164
GenBank:NM_001181040.1	NC_001139.9	173285	174322	-	1038	444	495	414	339
GenBank:NM_001181039.3	NC_001139.9	174545	175345	+	801	1905	1895	1654	1343
GenBank:NM_001181038.1	NC_001139.9	175527	180113	-	4587	18680	21593	23186	20351
GenBank:NM_001181037.1	NC_001139.9	180700	182118	+	1419	6007	5656	6200	5439
GenBank:NM_001181036.1	NC_001139.9	182390	184084	+	1695	3663	3614	3179	3610
GenBank:NM_001181035.3	NC_001139.9	184153	185394	-	1242	1648	1594	1378	1677
GeneID:852706	NC_001139.9	185714	185786	-	73	2	6	1	4
GenBank:NM_001181034.1	NC_001139.9	186059	187339	+	1281	5756	6014	4112	4708
GenBank:NM_001181033.1	NC_001139.9	187464	187796	+	333	836	848	795	1355
GenBank:NM_001181032.1	NC_001139.9	187616	190468	-	2853	10390	10918	11015	10051
GenBank:NM_001181031.3	NC_001139.9	191129	191806	+	678	3798	3993	3501	3059
GenBank:NM_001181029.1	NC_001139.9	191978	193300	-	1323	3582	3973	3611	4252
GenBank:NM_001181028.1	NC_001139.9	193707	196403	-	2697	6887	7621	7054	6272
GenBank:NM_001181027.1	NC_001139.9	198138	199037	+	900	872	933	532	462
GenBank:NM_001181026.3	NC_001139.9	199210	200142	-	933	8023	6540	7584	8122
GenBank:NM_001181025.1	NC_001139.9	200561	202273	+	1713	6535	5917	5847	6120
GenBank:NM_001181024.1	NC_001139.9	202721	203833	+	1113	3334	3092	2501	2829
GeneID:852718	NC_001139.9;NC_001139.9	205521;205591	205558;205634	+;+	82	67	29	36	39
GenBank:NM_001181023.1	NC_001139.9	207033	208571	+	1539	166	197	137	121
GenBank:NM_001181022.3	NC_001139.9	209006	210049	+	1044	319	455	306	430
GenBank:NM_001181021.1	NC_001139.9	210416	213667	+	3252	34346	33215	40135	28506
GenBank:NM_001181020.1	NC_001139.9	214081	215211	+	1131	3126	3482	3149	3278
GenBank:NM_001181019.1	NC_001139.9	215278	216096	-	819	3441	3634	2869	2886
GenBank:NM_001181018.3	NC_001139.9	216273	217298	+	1026	5656	5201	5752	5122
GenBank:NM_001181016.1	NC_001139.9	217524	220922	+	3399	4529	4549	4677	5829
GenBank:NM_001181015.1	NC_001139.9	221104	225573	-	4470	10785	12227	10194	8575
GenBank:NM_001348834.1	NC_001139.9	225572	225877	+	306	149	172	183	133
GenBank:NM_001181013.1	NC_001139.9	226399	227529	+	1131	8265	9750	8373	10355
GenBank:NM_001181012.3	NC_001139.9	227754	228329	-	576	8787	12030	12732	32881
GenBank:NM_001181011.1	NC_001139.9	228751	229686	-	936	3678	3465	3763	3490
GenBank:NM_001181010.2	NC_001139.9	230243	232348	+	2106	4814	4653	4562	4471
GenBank:NM_001181009.1	NC_001139.9	232450	234507	-	2058	4578	5100	3496	3368
GenBank:NM_001181008.3	NC_001139.9	234717	235958	-	1242	3145	3875	2638	3790
GenBank:NM_001181007.1	NC_001139.9	236269	238119	-	1851	4894	4722	4404	4243
GenBank:NM_001181006.1	NC_001139.9	238353	241085	+	2733	6076	6646	5942	5224
GenBank:NM_001181005.1	NC_001139.9	241353	245012	-	3660	5613	6411	5088	4532
GenBank:NM_001181004.3	NC_001139.9	245716	248124	+	2409	9765	9368	8014	6406
GenBank:NM_001181003.1	NC_001139.9	248494	249531	-	1038	293	275	127	178
GenBank:NM_001181002.1	NC_001139.9;NC_001139.9	249869;250087	249886;252738	+;+	2670	12220	13465	12712	11475
GenBank:NM_001181001.1	NC_001139.9	252897	253859	-	963	4761	5226	4051	3935
GenBank:NM_001181000.3	NC_001139.9	254641	255294	+	654	21493	23782	25267	43302
GenBank:NM_001180999.1	NC_001139.9	255663	256964	+	1302	4886	4875	4778	4182
GenBank:NM_001180998.1	NC_001139.9	257707	261501	+	3795	7551	7788	7124	6372
GenBank:NM_001180996.1	NC_001139.9	261648	265859	-	4212	3631	4019	3934	2945
GenBank:NM_001180995.3	NC_001139.9	266145	267524	+	1380	5532	5756	4935	5140
GenBank:NM_001180994.2	NC_001139.9	267723	269075	-	1353	5164	5490	5212	6331
GenBank:NM_001180993.1	NC_001139.9	269293	270144	-	852	2202	2252	2114	1969
GenBank:NM_001180992.1	NC_001139.9	270392	270775	-	384	2808	3387	2252	2526
GenBank:NM_001180991.3	NC_001139.9	270997	272139	+	1143	4708	7885	3163	4666
GenBank:NM_001180990.1	NC_001139.9	272520	274322	+	1803	3423	3721	3121	3534
GenBank:NM_001180989.2	NC_001139.9	274780	276714	-	1935	4191	3797	3357	3570
GenBank:NM_001180988.1	NC_001139.9	277617	278381	+	765	43423	50070	52612	81165
GenBank:NM_001180987.3	NC_001139.9	278946	280523	-	1578	10160	10680	9499	7111
GenBank:NM_001180986.1	NC_001139.9	280777	281157	-	381	38953	33331	30183	26755
GenBank:NM_001180985.1	NC_001139.9	281634	283937	-	2304	3386	4185	3965	4818
GenBank:NM_001180984.1	NC_001139.9	284442	285947	+	1506	3108	3267	2583	2950
GeneID:852759	NC_001139.9;NC_001139.9	287350;287420	287385;287455	-;-	72	11	10	12	9
GenBank:NM_001348835.1	NC_001139.9	288014	288451	-	438	44	57	25	62
GenBank:NM_001180982.3	NC_001139.9	288512	289309	+	798	6786	7647	5426	6649
GenBank:NM_001180981.1	NC_001139.9	289809	291641	+	1833	2323	2329	2234	1923
GenBank:NM_001180980.1	NC_001139.9	292033	293001	+	969	6302	6622	5862	7556
GenBank:NM_001180979.1	NC_001139.9	293460	295637	+	2178	9480	8815	8759	6842
GenBank:NM_001180978.3	NC_001139.9	295932	297938	+	2007	3028	3416	2705	2108
GenBank:NM_001180977.1	NC_001139.9	298178	299728	-	1551	7105	7580	6213	5760
GenBank:NM_001180976.1	NC_001139.9	299978	301369	+	1392	4803	5542	4225	4209
GenBank:NM_001180975.1	NC_001139.9	301537	303411	-	1875	5061	5218	4564	4724
GenBank:NM_001180973.3	NC_001139.9	303649	304071	-	423	3242	3394	2760	3518
GenBank:NM_001180972.1	NC_001139.9	304333	306273	-	1941	3843	4234	3783	3948
GenBank:NM_001180971.1	NC_001139.9	306560	307009	+	450	6951	7352	7064	9399
GenBank:NM_001180970.1	NC_001139.9	307437	308567	+	1131	16379	17242	20900	19875
GenBank:NM_001180969.3	NC_001139.9	308713	310173	-	1461	3884	3046	3289	2462
GenBank:NM_001180968.1	NC_001139.9;NC_001139.9	310967;311527	311015;311927	+;+	450	64949	65962	63733	127747
GenBank:NM_001180966.1	NC_001139.9	312193	312840	+	648	2323	2360	2590	4727
GenBank:NM_001180965.1	NC_001139.9	313234	314283	+	1050	7106	7401	6742	6962
GenBank:NM_001180964.3	NC_001139.9	314631	316553	+	1923	4256	4912	4447	4387
GenBank:NR_132178.1	NC_001139.9	316788	317055	+	268	1196	1207	1136	1378
GenBank:NM_001180963.1	NC_001139.9	317342	318079	+	738	2955	2943	2617	2532
GeneID:852781	NC_001139.9	319781	319852	+	72	6	5	5	3
GenBank:NM_001180962.1	NC_001139.9	321782	323230	+	1449	2948	3180	2527	4072
GenBank:NM_001180961.1	NC_001139.9	325331	326161	+	831	6104	8375	6536	7792
GeneID:852784	NC_001139.9	328583	328654	+	72	62	80	53	118
GenBank:NM_001180960.3	NC_001139.9	328874	330607	-	1734	5324	5662	5714	6198
GenBank:NM_001180959.1	NC_001139.9	331118	334465	-	3348	5127	5852	6204	6046
GenBank:NM_001180958.1	NC_001139.9	334886	337639	+	2754	6191	6582	6510	5602
GenBank:NM_001180957.1	NC_001139.9	337906	341859	+	3954	6069	6881	6341	7852
GenBank:NM_001180956.3	NC_001139.9	342056	343042	-	987	7465	7380	6634	6378
GenBank:NM_001180955.1	NC_001139.9	343319	344584	+	1266	3388	3315	2955	2732
GenBank:NM_001180954.1	NC_001139.9	344791	345153	-	363	870	919	890	957
GenBank:NM_001348836.1	NC_001139.9	345836	346201	+	366	2	6	5	6
GenBank:NR_132179.1	NC_001139.9	345986	346230	+	245	105	124	86	129
GenBank:NM_001180952.1	NC_001139.9;NC_001139.9	346406;346894	346808;346904	-;-	414	8989	8741	7135	6381
GenBank:NM_001180951.3	NC_001139.9	347119	349368	+	2250	4168	4141	4101	4495
GenBank:NM_001180950.1	NC_001139.9	349616	350440	+	825	3993	3925	3078	4072
GenBank:NM_001180949.1	NC_001139.9	350616	352298	-	1683	7905	7030	7304	7163
GenBank:NM_001180948.1	NC_001139.9	353058	355472	+	2415	3309	3885	3079	3077
GenBank:NM_001180947.3	NC_001139.9	355827	356972	+	1146	5072	5016	4758	4326
GenBank:NM_001180946.1	NC_001139.9	357377	358339	+	963	1949	1662	2491	1600
GenBank:NM_001180945.1	NC_001139.9	358636	359028	+	393	16399	14402	14758	20316
GenBank:NM_001180944.1	NC_001139.9	359444	360100	+	657	2502	2629	2522	2416
GenBank:NM_001180943.3	NC_001139.9	360288	361859	-	1572	8013	9046	7370	8555
GenBank:NM_001180942.1	NC_001139.9	362225	363916	-	1692	10176	10489	7470	8439
GenBank:NM_001180941.1	NC_001139.9;NC_001139.9;NC_001139.9	364335;365433;365986	364964;365526;365996	-;-;-	735	20008	23314	24913	41377
GenBank:NR_132180.1	NC_001139.9	365163	365251	-	89	261	268	152	248
GenBank:NR_132181.1	NC_001139.9	366374	366469	-	96	79	132	88	121
GenBank:NM_001180940.1	NC_001139.9	366925	368088	-	1164	1671	1671	1664	1284
GenBank:NM_001180938.3	NC_001139.9	368753	371254	+	2502	11392	12005	12212	9133
GenBank:NM_001180936.1	NC_001139.9	372012	374084	+	2073	2972	3217	3046	2566
GenBank:NM_001180935.1	NC_001139.9	374459	374827	-	369	2704	2985	2348	5035
GenBank:NM_001180933.1	NC_001139.9	375087	375671	+	585	10745	11151	8868	15577
GenBank:NM_001180932.3	NC_001139.9	376101	377255	+	1155	2477	2643	2650	3201
GenBank:NM_001180931.1	NC_001139.9	377609	379582	+	1974	5850	6026	6254	4408
GenBank:NM_001180930.1	NC_001139.9	379760	381271	-	1512	2645	2386	2605	2631
GenBank:NM_001180929.1	NC_001139.9	381523	383208	-	1686	1767	2122	1523	1770
GenBank:NM_001180928.4	NC_001139.9	383654	384766	+	1113	2412	3297	834	1013
GenBank:NM_001180927.1	NC_001139.9	385196	388732	+	3537	58013	67917	60354	63485
GenBank:NM_001180926.1	NC_001139.9	388968	389711	-	744	2165	2042	1950	2432
GenBank:NM_001180925.1	NC_001139.9	390065	391990	+	1926	2863	2833	3141	2807
GenBank:NM_001180924.4	NC_001139.9	392223	393698	+	1476	5555	5132	5789	4410
GenBank:NM_001180923.1	NC_001139.9	393986	394504	+	519	5425	6052	4892	6769
GenBank:NM_001180922.1	NC_001139.9	394966	395829	-	864	2587	2809	2023	2490
GenBank:NM_001180921.2	NC_001139.9	396035	397618	-	1584	13947	14055	15999	14371
GenBank:NM_001180920.3	NC_001139.9	398628	400160	+	1533	320864	337246	124840	97630
GenBank:NM_001180919.1	NC_001139.9	400871	401287	-	417	7942	6249	6990	10050
GeneID:852827	NC_001139.9	401527	401598	-	72	1	3	3	7
GenBank:NM_001180918.1	NC_001139.9	402589	403302	+	714	3102	3480	2537	3032
GenBank:NM_001180916.1	NC_001139.9	403687	404391	+	705	1016	954	895	775
GeneID:852831	NC_001139.9	405470	405541	+	72	29	20	27	30
GenBank:NM_001180915.3	NC_001139.9	405776	406597	+	822	2586	2967	1979	3118
GenBank:NM_001180914.1	NC_001139.9	406860	409604	-	2745	5174	5804	4282	4521
GenBank:NM_001180913.1	NC_001139.9	410069	411286	-	1218	36239	37115	37691	31641
GenBank:NM_001180912.1	NC_001139.9	411552	412160	+	609	4703	4128	4039	4137
GeneID:852836	NC_001139.9	412294	412367	-	74	88	67	55	89
GenBank:NM_001180910.3	NC_001139.9	414102	415730	+	1629	6313	8628	4781	4813
GenBank:NM_001180909.1	NC_001139.9	416146	417036	-	891	4019	3975	3302	3598
GenBank:NM_001180908.1	NC_001139.9	417483	418412	+	930	5543	5793	4630	4791
GenBank:NM_001184550.1	NC_001139.9	418704	418886	-	183	12	15	9	10
GenBank:NM_001184647.4	NC_001139.9	418825	419289	+	465	5419	4708	4600	6234
GenBank:NM_001180905.1	NC_001139.9	419527	420555	-	1029	9507	10041	9961	11038
